LastName, FirstName, Course, Position
Abercromby, Kira J. ,  Aerospace Engineering, Professor
Abo Ismail, Mohammed  ,  Animal Science, Assistant Professor
Adams, Nikki L. ,  Biological Sciences, Professor
Adams, Aubrie S. ,  Communication Studies, Assistant Professor
Adan, Elizabeth  ,  Interdisciplinary Studies in the Liberal Arts, Women's and Gender Studies, Professor
Agbo, Samuel O. ,  Electrical Engineering, Professor
Ahlgren, William L. ,  Electrical Engineering, Associate Professor
Aivazpour, Zahra  ,  Management, HR, and Information Systems, Assistant Professor
Al-Nakib, Farah  ,  History, Assistant Professor
Alaniz, Ryan C. ,  Social Sciences, Associate Professor
Alber, Julia M. ,  Kinesiology, Assistant Professor
Alexander, Benjamin  ,  Management, HR, and Information Systems, Assistant Professor
Allen, Regulus L. ,  English, Associate Professor
Almeida, Daniel J. ,  School of Education, Associate Professor
Alzraiee, Hani  ,  Civil and Environmental Engineering, Assistant Professor
Amin, Samir  ,  Food Science and Nutrition, Associate Professor
Amos, Dave  ,  City and Regional Planning, Assistant Professor
Anderson, Bing  ,  Finance, Associate Professor
Anderson, Bradford P. ,  Accounting, Associate Professor
Anderson, Christian  ,  World Languages and Cultures, Assistant Professor
Anderson, Paul E. ,  Computer Science, Assistant Professor
Appel, Christopher S. ,  Natural Resources Management and Environmental Sciences, Professor
Arakaki, Dean Y. ,  Electrical Engineering, Associate Professor
Arceneaux, Craig  ,  Political Science, Professor
Archer, Graham C. ,  Architectural Engineering, Professor
Arens, Robert M. ,  Architecture, Professor and Associate Department Head
Arrington, Nancy  ,  Political Science, Assistant Professor
Arrivee, David A. ,  Music, Professor
Askay, David A. ,  Communication Studies, Associate Professor
Awwad, Mohamed  ,  Industrial and Manufacturing Engineering, Assistant Professor
Ayash, Brian  ,  Finance, Associate Professor
Babin, Nicholas  ,  Natural Resources Management and Environmental Sciences, Assistant Professor
Ball, Stephen W. ,  Philosophy, Professor
Baltimore, Craig V. ,  Architectural Engineering, Professor
Barata, Antonio G. ,  Music, Professor Emeritus (FERP)
Barlow, Philip L. ,  Construction Management, Professor
Bass, Beverly J. ,  Landscape Architecture, Professor and Department Head
Bates, G.W.  ,  BioResource and Agricultural Engineering, Assistant Professor
Battenburg, John  ,  English, Professor
Battle, Martin  ,  Political Science, Associate Professor
Bean, Timothy W. ,  Biological Sciences, Assistant Professor
Beaton, Brian  ,  History, Associate Professor
Bednarek, Ziemowit K. ,  Finance, Associate Professor and Area Chair
Beekman, Matthew  ,  Physics, Assistant Professor
Behrouzi, Anahid  ,  Architectural Engineering, Assistant Professor
Belanger, Jacques  ,  Mechanical Engineering, Assistant Professor
Bellardo, John M. ,  Computer Engineering, Computer Science, Professor
Bencharit, Lucy  ,  Psychology and Child Development, Assistant Professor
Bennert, Vardha N. ,  Physics, Associate Professor
Bennett, Penny K. ,  College of Liberal Arts, Graphic Communication, Associate Dean and Professor
Bennett, Darin C. ,  Animal Science, Associate Professor
Bennion, Kelly Ann ,  Psychology and Child Development, Assistant Professor
Bensky, Thomas J. ,  Physics, Professor
Benson, Bridget G. ,  Computer Engineering, Electrical Engineering, Associate Professor
Berber-Jimenez, Lola  ,  Liberal Studies, Department Director
Bergman, Sky  ,  Art and Design, Professor
Bernard, Thomas J. ,  Theatre and Dance, Associate Professor
Berning, Leanne M. ,  Animal Science, Professor
Bettergarcia, Jay  ,  Psychology and Child Development, Assistant Professor
Beyramali Kivy, Mohsen  ,  Materials Engineering, Assistant Professor
Birdsong, Charles B. ,  Mechanical Engineering, Professor
Black, Michael W. ,  Biological Sciences, Professor
Blank, Jason M. ,  Biological Sciences, Associate Professor
Blau, Jnan A. ,  Communication Studies, Associate Professor
Bockmon, Emily  ,  Chemistry and Biochemistry, Assistant Professor
Bodwin, Kelly N. ,  Statistics, Assistant Professor
Bohr, Gregory S. ,  Social Sciences, Associate Professor
Bonini, Vincent  ,  Mathematics, Professor
Bordeman, Adam  ,  Accounting, Assistant Professor
Borzellino, Joseph E. ,  Mathematics, Professor
Boswell, Michael R. ,  City and Regional Planning, Professor and Department Head
Brady, Pamalee  ,  Architectural Engineering, Professor Emeritus (FERP)
Brammeier, Meredith  ,  Music, Professor
Braun, David B. ,  Computer Engineering, Electrical Engineering, Professor
Bridger, Sarah  ,  History, Associate Professor
Brown, D. Kenneth  ,  Philosophy, Associate Professor  Department Chair
Brown, J. Wyatt  ,  Horticulture and Crop Science, Professor Emeritus (FERP)
Brussel, Eric S. ,  Mathematics, Professor
Burd, Matthew A. ,  Animal Science, Professor
Burgunder, Lee B. ,  Accounting, Professor Emeritus (FERP)
Burke, Ellen  ,  Landscape Architecture, Assistant Professor
Burleson, James  ,  Management, HR, and Information Systems, Assistant Professor
Burn, Shawn Meghan ,  Psychology and Child Development, Professor Emeritus
Bush, Seth  ,  Chemistry and Biochemistry, Professor and Department Chair
Byrne, Andrew M. ,  School of Education, Assistant Professor
